molecule,functional,basis,wavelength,intensity
Eos_1,M06,6-31+G**,663,7.032745945221251e-07
Eos_1,M06,6-31+G**,664,6.616058905815443e-07
Eos_1,M06,6-31+G**,665,6.223975061790038e-07
Eos_1,M06,6-31+G**,666,5.855052359053065e-07
Eos_1,M06,6-31+G**,667,5.50793223872824e-07
Eos_1,M06,6-31+G**,668,5.181334892146471e-07
Eos_1,M06,6-31+G**,669,4.874054778131019e-07
Eos_1,M06,6-31+G**,670,4.584956388665295e-07
Eos_1,M06,6-31+G**,671,4.3129702497236064e-07
Eos_1,M06,6-31+G**,672,4.0570891447065404e-07
Eos_1,M06,6-31+G**,673,3.816364548553367e-07
Eos_1,M06,6-31+G**,674,3.5899032612067724e-07
Eos_1,M06,6-31+G**,675,3.376864229679679e-07
Eos_1,M06,6-31+G**,676,3.176455548522914e-07
Eos_1,M06,6-31+G**,677,2.987931629014952e-07
Eos_1,M06,6-31+G**,678,2.810590527893656e-07
Eos_1,M06,6-31+G**,679,2.643771426924338e-07
Eos_1,M06,6-31+G**,680,2.4868522550514316e-07
Eos_1,M06,6-31+G**,681,2.33924744531042e-07
Eos_1,M06,6-31+G**,682,2.200405819087894e-07
Eos_1,M06,6-31+G**,683,2.0698085907056818e-07
Eos_1,M06,6-31+G**,684,1.9469674856774683e-07
Eos_1,M06,6-31+G**,685,1.831422966337339e-07
Eos_1,M06,6-31+G**,686,1.72274255887561e-07
Eos_1,M06,6-31+G**,687,1.6205192761353045e-07
Eos_1,M06,6-31+G**,688,1.524370130824798e-07
Eos_1,M06,6-31+G**,689,1.4339347340899326e-07
Eos_1,M06,6-31+G**,690,1.348873974660622e-07
Eos_1,M06,6-31+G**,691,1.268868774046529e-07
Eos_1,M06,6-31+G**,692,1.193618913501275e-07
